priority,content_key,current_source,reader_audit_scope,status
1,authored/transit-aspect/sun/north-node/opposition,fallback-template/transit.aspect,true,needs-owner-approved-personal-transit-copy
1,authored/transit-aspect/sun/north-node/square,fallback-template/transit.aspect,true,needs-owner-approved-personal-transit-copy
1,authored/transit-aspect/sun/south-node/opposition,fallback-template/transit.aspect,false,needs-owner-approved-personal-transit-copy
1,authored/transit-aspect/sun/south-node/square,fallback-template/transit.aspect,false,needs-owner-approved-personal-transit-copy
2,authored/transit-return/sun,SOURCE_GAP,true,needs-owner-approved-personal-transit-copy
2,authored/transit-return/uranus,SOURCE_GAP,true,needs-owner-approved-personal-transit-copy
3,authored/transit-aspect/chiron/north-node/sextile,fallback-template/transit.aspect,true,needs-owner-approved-personal-transit-copy
3,authored/transit-aspect/chiron/north-node/trine,fallback-template/transit.aspect,true,needs-owner-approved-personal-transit-copy
3,authored/transit-aspect/jupiter/north-node/opposition,fallback-template/transit.aspect,true,needs-owner-approved-personal-transit-copy
3,authored/transit-aspect/jupiter/north-node/square,fallback-template/transit.aspect,true,needs-owner-approved-personal-transit-copy
3,authored/transit-aspect/lilith/ascendant/conjunction,fallback-template/transit.aspect,true,needs-owner-approved-personal-transit-copy
3,authored/transit-aspect/lilith/ascendant/opposition,fallback-template/transit.aspect,true,needs-owner-approved-personal-transit-copy
3,authored/transit-aspect/lilith/ascendant/sextile,fallback-template/transit.aspect,true,needs-owner-approved-personal-transit-copy
3,authored/transit-aspect/lilith/ascendant/square,fallback-template/transit.aspect,true,needs-owner-approved-personal-transit-copy
3,authored/transit-aspect/lilith/ascendant/trine,fallback-template/transit.aspect,true,needs-owner-approved-personal-transit-copy
3,authored/transit-aspect/lilith/jupiter/conjunction,fallback-template/transit.aspect,true,needs-owner-approved-personal-transit-copy
3,authored/transit-aspect/lilith/jupiter/opposition,fallback-template/transit.aspect,true,needs-owner-approved-personal-transit-copy
3,authored/transit-aspect/lilith/jupiter/sextile,fallback-template/transit.aspect,true,needs-owner-approved-personal-transit-copy
3,authored/transit-aspect/lilith/jupiter/square,fallback-template/transit.aspect,true,needs-owner-approved-personal-transit-copy
3,authored/transit-aspect/lilith/jupiter/trine,fallback-template/transit.aspect,true,needs-owner-approved-personal-transit-copy
3,authored/transit-aspect/lilith/lilith/conjunction,fallback-template/transit.aspect,true,needs-owner-approved-personal-transit-copy
3,authored/transit-aspect/lilith/lilith/opposition,fallback-template/transit.aspect,true,needs-owner-approved-personal-transit-copy
